,Name,Position,Born,Team,Height,Nationality,Weight,Match Played,Points,Career Best Points,Not Out Percentage,Raids,Successful Raids,Unsuccessful Raids,Empty Raid,Successful_Raid_Per,Raid Touch Points,Raid Bonus Points,Total Raid Points,Super_raids,Super_10s,Tackles,Successful Tackles,Unsuccessful Tackles,Successful Tackles Per Match,Tackle Bonus Points,Tackle Success Rate,Super_tackles,High 5s
17,Mayur Shivtarkar,All Rounder,13-Sep-96,Bengal Warriors,5 ft 8 in,India,79 kg,7,6,2,0,0,0,0,0,0,0,0,0,0,0,25,6,19,0.85,0,24,0,0
18,Sourabh Tanaji,All Rounder,9-Jul-97,Bengal Warriors,-,India,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Sunil Manik,All Rounder,27-Apr-96,Bengal Warriors,-,India,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0
132,Manjeet,Raider,30-Oct-96,Puneri Paltan,-,India,-,20,131,16,76.34,241,86,57,98,43.15,79,25,104,2,2,57,26,31,1.3,0,47.36,1,0
149,Rahul Chaudhari,Raider,16-Jun-93,Tamil Thalaivas,6 ft,India,81.3 kg,20,126,14,72.31,289,97,80,112,40.83,89,29,118,0,4,28,8,20,0.4,0,28.57,0,0
184,Abhishek Singh,Raider,3-Apr-99,U Mumba,5 ft 11 in,India,-,17,119,13,81.42,253,103,47,103,46.64,106,12,118,2,7,12,1,11,0.05,0,8.33,0,0
208,Shrikant Jadhav,Raider,17-Sep-95,U.P. Yoddha,6 ft,India,79.1 kg,18,117,15,77.17,241,83,55,103,47.3,94,20,114,2,3,8,3,5,0.16,0,37.5,0,0
134,Pankaj Mohite,Raider,1-Jan-70,Puneri Paltan,-,India,-,16,113,17,77.77,207,84,46,77,53.14,93,17,110,4,3,15,3,12,0.18,0,20,0,0
40,Chandran Ranjit,Raider,7-Jun-91,Dabang Delhi K.C.,5 ft 10 in,India,68 kg,19,110,12,74.16,240,81,62,97,44.16,71,35,106,3,2,17,3,14,0.15,0,23.52,1,0
26,Mohit Sehrawat,"Defender, right cover",21-Aug-98,Bengaluru Bulls,5 ft 11 in,India,76.5 kg,13,17,5,75.55,45,4,11,30,11.11,4,1,5,0,0,31,10,21,0.76,0,38.7,2,1
27,Raju Lal,"Defender, right corner",12-Feb-88,Bengaluru Bulls,6 ft 1 in,India,80.5 kg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Vijay Kumar,"Defender, right corner",1-Mar-94,Bengaluru Bulls,6 ft 2 in,India,-,9,5,3,100,4,0,0,4,0,0,0,0,0,0,16,4,12,0.44,0,31.25,1,0
29,Mahender Singh,"Defender, left cover",10-Jan-96,Bengaluru Bulls,5 ft 7 in,India,78 kg,16,46,7,100,8,0,0,8,0,0,0,0,0,0,90,39,51,2.43,0,51.11,7,3
30,Aman,"Defender, left corner",12-Feb-00,Bengaluru Bulls,5 ft 9 in,India,65.5 kg,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0.5,0,25,0,0
31,Sandeep,"Defender, left corner",12-Dec-98,Bengaluru Bulls,5 ft 9 in,India,73.1 kg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
32,Saurabh Nandal,"Defender, left corner",1-Jan-70,Bengaluru Bulls,-,India,-,18,48,8,100,1,1,0,0,100,1,0,1,0,0,87,42,45,2.33,0,54.02,5,5
33,Ajay,Defender,1-Jan-70,Bengaluru Bulls,5 ft 9 in,India,73 kg,9,4,2,100,4,1,0,3,50,1,1,2,0,0,19,2,17,0.22,0,10.52,0,0
34,Amit Sheoran,Defender,1-Jan-70,Bengaluru Bulls,-,India,-,19,43,6,0,1,0,1,0,0,0,0,0,0,0,83,40,43,2.1,0,51.8,3,3
35,Ankit,Defender,1-Jan-70,Bengaluru Bulls,-,India,-,7,6,3,88.88,9,0,1,8,0,0,0,0,0,0,21,5,16,0.71,0,28.57,1,0
36,Ashish Kumar,All Rounder,28-Dec-94,Bengaluru Bulls,5 ft 9 in,India,75 kg,7,6,4,75,12,0,3,9,8.33,0,1,1,0,0,19,3,16,0.42,0,26.31,2,0
37,Sanjay Shrestha,All Rounder,6-Jan-84,Bengaluru Bulls,5 ft 6 in,Nepal,78.4 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Joginder Singh,"Defender, left corner",20-Apr-82,Dabang Delhi K.C.,5 ft 9 in,India,75 kg,20,46,6,0,0,0,0,0,0,0,0,0,0,0,94,42,52,2.1,0,48.93,4,1
